,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
38,0.0,0.0100624,9.96333e-15,0.107038,9.63698e-15,0.0021810249999999996,6.46612e-15,0.0918417,4.02105e-15,0.181295,0.234701,0.167516,0.250807,0.169706,0.30844,0.180413,0.175995
39,0.0,0.0100995,2.96508e-15,0.114254,8.09102e-15,0.00235907,1.02661e-14,0.10298315,1.73328e-14,0.1896255,0.24367,0.173444,0.258168,0.176208,0.3317185,0.187113,0.185905
40,0.0,0.0117319,1.30527e-14,0.123418,2.47241e-14,0.00244094,3.83606e-16,0.117875,7.44853e-15,0.197176,0.252106,0.179557,0.264608,0.182747,0.353889,0.1961055,0.191333
41,0.0,0.0116562,1.38879e-14,0.137161,7.16542e-15,0.002620125,1.22408e-14,0.120627,1.09564e-14,0.201588,0.26,0.1882615,0.269625,0.18894,0.366983,0.203277,0.198498
42,0.0,0.012944,1.4193975e-14,0.1520285,7.41443e-15,0.0029518,1.24045e-14,0.140673,7.37069e-15,0.2063525,0.267064,0.195658,0.275217,0.194513,0.381199,0.206508,0.2035
43,0.0,0.0143807,3.90984e-15,0.167437,4.28301e-15,0.00299317,1.67523e-14,0.163365,1.78704e-15,0.209516,0.2758975,0.199544,0.280251,0.199113,0.396984,0.208791,0.207749
44,0.0,0.0152259,6.01272e-16,0.178401,1.6087e-14,0.003039635,5.2807e-15,0.161538,2.18735e-15,0.210762,0.283698,0.202553,0.283247,0.202586,0.411082,0.210285,0.211826
45,0.0,0.0155389,8.86301e-15,0.191539,1.050885e-14,0.00337145,5.865125e-15,0.188398,9.13516e-15,0.211614,0.288534,0.204637,0.286815,0.204969,0.428478,0.211265,0.215127
46,0.0,0.0184494,9.0767e-15,0.202588,2.66784e-15,0.00342608,1.66635e-14,0.204716,9.15119e-15,0.212692,0.293629,0.205983,0.290891,0.206455,0.4550705,0.212065,0.216368
47,0.0,0.0177448,6.84673e-16,0.217377,2.07891e-14,0.00363549,5.88828e-15,0.229148,1.35093e-14,0.214157,0.299255,0.207186,0.295583,0.207384,0.486157,0.213071,0.21656
48,0.0,0.0184159,8.438294999999999e-15,0.229251,1.56318e-14,0.00399997,1.51553e-14,0.239756,3.8853e-15,0.215722,0.305485,0.20834,0.301405,0.208105,0.506202,0.214555,0.2167285
49,0.0,0.0201615,6.81236e-15,0.254869,9.059895e-15,0.00403682,3.62675e-15,0.26673,1.60241e-14,0.217907,0.31292,0.209587,0.308094,0.209058,0.527169,0.218536,0.219989
50,0.0,0.0197048,1.12897e-15,0.283839,2.72655e-14,0.00418646,9.56373e-18,0.270959,7.71821e-15,0.22285899999999997,0.320971,0.2113,0.315523,0.210542,0.551881,0.22487,0.22278
51,0.0,0.0210021,1.7989e-14,0.303561,1.56442e-15,0.0047193700000000005,1.13482e-14,0.303199,2.05734e-15,0.229643,0.329625,0.213719,0.323132,0.21428,0.576935,0.230369,0.2286945
52,0.0,0.0231432,1.43126e-14,0.324889,3.5971e-14,0.00506144,1.17397e-14,0.311911,3.02041e-15,0.234846,0.344309,0.217142,0.330532,0.220018,0.602214,0.236366,0.236759
53,0.0,0.02353515,1.82447e-14,0.339083,1.5851615e-14,0.00514334,5.5096e-15,0.334994,1.06624e-14,0.240278,0.359524,0.221464,0.337261,0.225133,0.636206,0.242535,0.24159
54,0.0,0.0243327,1.90566e-14,0.360503,8.92323e-15,0.005603525,2.56823e-16,0.365459,1.05161e-14,0.248206,0.369613,0.22915950000000002,0.342547,0.230823,0.6800915,0.248427,0.2496005
